,genus,spp
581,Threskiornis,molucca
582,Threskiornis,spinicollis
583,Thryomanes,bewickii
584,Thryothorus,ludovicianus
585,Todiramphus,sanctus
586,Todus,mexicanus
587,Toxostoma,curvirostre
588,Toxostoma,rufum
589,Trichoglossus,haematodus
590,Tringa,flavipes
591,Tringa,glareola
592,Tringa,nebularia
593,Troglodytes,aedon
594,Turdus,merula
595,Turdus,migratorius
596,Turdus,philomelos
597,Tyrannus,tyrannus
598,Tyrannus,verticalis
599,Tyto,alba
600,Upupa,epops
601,Uria,aalge
602,Uria,lomvia
603,Vanellus,armatus
604,Vanellus,vanellus
605,Vermivora,peregrina
606,Vireo,griseus
607,Vireo,olivaceus
608,Vultur,gryphus
609,Wilsonia,citrina
610,Xanthocephalus,xanthocephalus
611,Xema,sabini
612,Xenus,cinereus
613,Zenaida,asiatica
614,Zenaida,aurita
615,Zenaida,macroura
616,Zonotrichia,albicollis
617,Zonotrichia,leucophrys
618,Zoothera,naevia
619,Zosterops,japonicus
620,Zosterops,lateralis
621,,
622,,
623,,
624,,
625,,
626,,
